Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total
03/01/2018;01/04/2018;LG-9413;TXL;SCN;0 PAX
03/01/2018;01/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;01/04/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;01/04/2018;LG-9416;SCN;TXL;2 PAX
03/01/2018;02/04/2018;LG-9411;TXL;SCN;0 PAX
03/01/2018;02/04/2018;LG-9412;SCN;TXL;2 PAX
03/01/2018;02/04/2018;LG-9413;TXL;SCN;12 PAX
03/01/2018;02/04/2018;LG-9414;SCN;TXL;9 PAX
03/01/2018;02/04/2018;LG-9415;TXL;SCN;2 PAX
03/01/2018;02/04/2018;LG-9416;SCN;TXL;10 PAX
03/01/2018;03/04/2018;LG-9411;TXL;SCN;13 PAX
03/01/2018;03/04/2018;LG-9412;SCN;TXL;5 PAX
03/01/2018;03/04/2018;LG-9413;TXL;SCN;0 PAX
03/01/2018;03/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;03/04/2018;LG-9415;TXL;SCN;3 PAX
03/01/2018;03/04/2018;LG-9416;SCN;TXL;6 PAX
03/01/2018;04/04/2018;LG-9411;TXL;SCN;3 PAX
03/01/2018;04/04/2018;LG-9412;SCN;TXL;0 PAX
03/01/2018;04/04/2018;LG-9413;TXL;SCN;1 PAX
03/01/2018;04/04/2018;LG-9414;SCN;TXL;4 PAX
03/01/2018;04/04/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;04/04/2018;LG-9416;SCN;TXL;0 PAX
03/01/2018;05/04/2018;LG-9411;TXL;SCN;33 PAX
03/01/2018;05/04/2018;LG-9412;SCN;TXL;0 PAX
03/01/2018;05/04/2018;LG-9413;TXL;SCN;1 PAX
03/01/2018;05/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;05/04/2018;LG-9415;TXL;SCN;2 PAX
03/01/2018;05/04/2018;LG-9416;SCN;TXL;2 PAX
03/01/2018;06/04/2018;LG-9411;TXL;SCN;6 PAX
03/01/2018;06/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;06/04/2018;LG-9413;TXL;SCN;1 PAX
03/01/2018;06/04/2018;LG-9414;SCN;TXL;2 PAX
03/01/2018;06/04/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;06/04/2018;LG-9416;SCN;TXL;5 PAX
03/01/2018;07/04/2018;LG-9411;TXL;SCN;1 PAX
03/01/2018;07/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;08/04/2018;LG-9413;TXL;SCN;1 PAX
03/01/2018;08/04/2018;LG-9414;SCN;TXL;33 PAX
03/01/2018;08/04/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;08/04/2018;LG-9416;SCN;TXL;3 PAX
03/01/2018;09/04/2018;LG-9411;TXL;SCN;7 PAX
03/01/2018;09/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;09/04/2018;LG-9413;TXL;SCN;0 PAX
03/01/2018;09/04/2018;LG-9414;SCN;TXL;3 PAX
03/01/2018;09/04/2018;LG-9415;TXL;SCN;2 PAX
03/01/2018;09/04/2018;LG-9416;SCN;TXL;0 PAX
03/01/2018;10/04/2018;LG-9411;TXL;SCN;2 PAX
03/01/2018;10/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;10/04/2018;LG-9413;TXL;SCN;1 PAX
03/01/2018;10/04/2018;LG-9414;SCN;TXL;1 PAX
03/01/2018;10/04/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;10/04/2018;LG-9416;SCN;TXL;3 PAX
03/01/2018;11/04/2018;LG-9411;TXL;SCN;0 PAX
03/01/2018;11/04/2018;LG-9412;SCN;TXL;2 PAX
03/01/2018;11/04/2018;LG-9413;TXL;SCN;0 PAX
03/01/2018;11/04/2018;LG-9414;SCN;TXL;1 PAX
03/01/2018;11/04/2018;LG-9415;TXL;SCN;3 PAX
03/01/2018;11/04/2018;LG-9416;SCN;TXL;0 PAX
03/01/2018;12/04/2018;LG-9411;TXL;SCN;2 PAX
03/01/2018;12/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;12/04/2018;LG-9413;TXL;SCN;2 PAX
