Route,FltNum,BidPrice,IssueDate,DepDate,yday,dday,dtime,month,Dprio
LUX-BRI,6407,0,2019-05-27,2019-05-28,148,Tuesday,11:45,5,1.0
LUX-BRI,6407,0,2019-05-27,2019-05-28,148,Tuesday,14:35,5,1.0
LUX-BRI,6407,0,2019-05-27,2019-05-31,151,Friday,11:45,5,4.0
LUX-BRI,6407,0,2019-05-28,2019-05-31,151,Friday,11:45,5,3.0
LUX-BRI,6407,157,2019-05-27,2019-05-31,151,Friday,14:35,5,4.0
LUX-BRI,6407,122,2019-05-28,2019-05-31,151,Friday,14:35,5,3.0
LUX-BRI,6407,0,2019-05-27,2019-06-02,153,Sunday,12:05,6,6.0
LUX-BRI,6407,0,2019-05-28,2019-06-02,153,Sunday,12:05,6,5.0
LUX-BRI,6407,209,2019-05-27,2019-06-02,153,Sunday,14:55,6,6.0
LUX-BRI,6407,209,2019-05-28,2019-06-02,153,Sunday,14:55,6,5.0
LUX-BRI,6407,0,2019-05-27,2019-06-04,155,Tuesday,11:45,6,8.0
LUX-BRI,6407,0,2019-05-28,2019-06-04,155,Tuesday,11:45,6,7.0
LUX-BRI,6407,0,2019-05-27,2019-06-04,155,Tuesday,14:35,6,8.0
LUX-BRI,6407,0,2019-05-28,2019-06-04,155,Tuesday,14:35,6,7.0
LUX-BRI,6407,54,2019-05-27,2019-06-07,158,Friday,11:45,6,11.0
LUX-BRI,6407,37,2019-05-28,2019-06-07,158,Friday,11:45,6,10.0
LUX-BRI,6407,0,2019-05-27,2019-06-07,158,Friday,14:35,6,11.0
LUX-BRI,6407,0,2019-05-28,2019-06-07,158,Friday,14:35,6,10.0
LUX-BRI,6407,40,2019-05-27,2019-06-09,160,Sunday,12:05,6,13.0
LUX-BRI,6407,36,2019-05-28,2019-06-09,160,Sunday,12:05,6,12.0
LUX-BRI,6407,83,2019-05-27,2019-06-09,160,Sunday,14:55,6,13.0
LUX-BRI,6407,88,2019-05-28,2019-06-09,160,Sunday,14:55,6,12.0
LUX-BRI,6407,0,2019-05-27,2019-06-11,162,Tuesday,11:45,6,15.0
LUX-BRI,6407,0,2019-05-28,2019-06-11,162,Tuesday,11:45,6,14.0
LUX-BRI,6407,64,2019-05-27,2019-06-11,162,Tuesday,14:35,6,15.0
LUX-BRI,6407,64,2019-05-28,2019-06-11,162,Tuesday,14:35,6,14.0
LUX-BRI,6407,136,2019-05-27,2019-06-14,165,Friday,11:45,6,18.0
LUX-BRI,6407,136,2019-05-28,2019-06-14,165,Friday,11:45,6,17.0
LUX-BRI,6407,0,2019-05-27,2019-06-14,165,Friday,14:35,6,18.0
LUX-BRI,6407,0,2019-05-28,2019-06-14,165,Friday,14:35,6,17.0
LUX-BRI,6407,109,2019-05-27,2019-06-16,167,Sunday,12:05,6,20.0
LUX-BRI,6407,107,2019-05-28,2019-06-16,167,Sunday,12:05,6,19.0
LUX-BRI,6407,0,2019-05-27,2019-06-16,167,Sunday,14:55,6,20.0
LUX-BRI,6407,0,2019-05-28,2019-06-16,167,Sunday,14:55,6,19.0
LUX-BRI,6407,0,2019-05-27,2019-06-18,169,Tuesday,11:45,6,22.0
LUX-BRI,6407,0,2019-05-28,2019-06-18,169,Tuesday,11:45,6,21.0
LUX-BRI,6407,63,2019-05-27,2019-06-18,169,Tuesday,14:35,6,22.0
LUX-BRI,6407,61,2019-05-28,2019-06-18,169,Tuesday,14:35,6,21.0
LUX-BRI,6407,0,2019-05-27,2019-06-21,172,Friday,11:45,6,25.0
LUX-BRI,6407,0,2019-05-28,2019-06-21,172,Friday,11:45,6,24.0
LUX-BRI,6407,0,2019-05-27,2019-06-21,172,Friday,14:35,6,25.0
LUX-BRI,6407,0,2019-05-28,2019-06-21,172,Friday,14:35,6,24.0
LUX-BRI,6407,0,2019-05-27,2019-06-23,174,Sunday,12:05,6,27.0
LUX-BRI,6407,0,2019-05-28,2019-06-23,174,Sunday,12:05,6,26.0
LUX-BRI,6407,2,2019-05-27,2019-06-23,174,Sunday,14:55,6,27.0
LUX-BRI,6407,15,2019-05-28,2019-06-23,174,Sunday,14:55,6,26.0
LUX-BRI,6407,0,2019-05-27,2019-06-25,176,Tuesday,11:45,6,29.0
LUX-BRI,6407,0,2019-05-28,2019-06-25,176,Tuesday,11:45,6,28.0
LUX-BRI,6407,0,2019-05-27,2019-06-25,176,Tuesday,14:35,6,29.0
LUX-BRI,6407,0,2019-05-28,2019-06-25,176,Tuesday,14:35,6,28.0
LUX-BRI,6407,1,2019-05-27,2019-06-28,179,Friday,11:45,6,32.0
LUX-BRI,6407,0,2019-05-28,2019-06-28,179,Friday,11:45,6,31.0
LUX-BRI,6407,0,2019-05-27,2019-06-28,179,Friday,14:35,6,32.0
LUX-BRI,6407,0,2019-05-28,2019-06-28,179,Friday,14:35,6,31.0
LUX-BRI,6407,203,2019-05-27,2019-06-30,181,Sunday,12:05,6,34.0
LUX-BRI,6407,203,2019-05-28,2019-06-30,181,Sunday,12:05,6,33.0
LUX-BRI,6407,126,2019-05-27,2019-06-30,181,Sunday,14:55,6,34.0
LUX-BRI,6407,126,2019-05-28,2019-06-30,181,Sunday,14:55,6,33.0
LUX-BRI,6407,166,2019-05-27,2019-07-02,183,Tuesday,11:45,7,36.0
LUX-BRI,6407,144,2019-05-28,2019-07-02,183,Tuesday,11:45,7,35.0
LUX-BRI,6407,0,2019-05-27,2019-07-02,183,Tuesday,14:35,7,36.0
LUX-BRI,6407,0,2019-05-28,2019-07-02,183,Tuesday,14:35,7,35.0
LUX-BRI,6407,11,2019-05-27,2019-07-05,186,Friday,11:45,7,39.0
LUX-BRI,6407,4,2019-05-28,2019-07-05,186,Friday,11:45,7,38.0
LUX-BRI,6407,0,2019-05-27,2019-07-05,186,Friday,14:35,7,39.0
LUX-BRI,6407,0,2019-05-28,2019-07-05,186,Friday,14:35,7,38.0
LUX-BRI,6407,160,2019-05-27,2019-07-07,188,Sunday,12:05,7,41.0
LUX-BRI,6407,158,2019-05-28,2019-07-07,188,Sunday,12:05,7,40.0
LUX-BRI,6407,57,2019-05-27,2019-07-07,188,Sunday,14:55,7,41.0
LUX-BRI,6407,23,2019-05-28,2019-07-07,188,Sunday,14:55,7,40.0
LUX-BRI,6407,390,2019-05-27,2019-07-09,190,Tuesday,11:45,7,43.0
LUX-BRI,6407,389,2019-05-28,2019-07-09,190,Tuesday,11:45,7,42.0
LUX-BRI,6407,0,2019-05-27,2019-07-09,190,Tuesday,14:35,7,43.0
LUX-BRI,6407,0,2019-05-28,2019-07-09,190,Tuesday,14:35,7,42.0
LUX-BRI,6407,160,2019-05-27,2019-07-12,193,Friday,11:45,7,46.0
LUX-BRI,6407,161,2019-05-28,2019-07-12,193,Friday,11:45,7,45.0
LUX-BRI,6407,0,2019-05-27,2019-07-12,193,Friday,14:35,7,46.0
LUX-BRI,6407,0,2019-05-28,2019-07-12,193,Friday,14:35,7,45.0
LUX-BRI,6407,159,2019-05-27,2019-07-14,195,Sunday,12:05,7,48.0
LUX-BRI,6407,159,2019-05-28,2019-07-14,195,Sunday,12:05,7,47.0
LUX-BRI,6407,175,2019-05-27,2019-07-14,195,Sunday,14:55,7,48.0
LUX-BRI,6407,175,2019-05-28,2019-07-14,195,Sunday,14:55,7,47.0
LUX-BRI,6407,340,2019-05-27,2019-07-16,197,Tuesday,11:45,7,50.0
LUX-BRI,6407,342,2019-05-28,2019-07-16,197,Tuesday,11:45,7,49.0
LUX-BRI,6407,0,2019-05-27,2019-07-16,197,Tuesday,14:35,7,50.0
LUX-BRI,6407,0,2019-05-28,2019-07-16,197,Tuesday,14:35,7,49.0
LUX-BRI,6407,198,2019-05-27,2019-07-19,200,Friday,11:45,7,53.0
LUX-BRI,6407,197,2019-05-28,2019-07-19,200,Friday,11:45,7,52.0
LUX-BRI,6407,0,2019-05-27,2019-07-19,200,Friday,14:35,7,53.0
LUX-BRI,6407,0,2019-05-28,2019-07-19,200,Friday,14:35,7,52.0
LUX-BRI,6407,114,2019-05-27,2019-07-21,202,Sunday,12:05,7,55.0
LUX-BRI,6407,105,2019-05-28,2019-07-21,202,Sunday,12:05,7,54.0
LUX-BRI,6407,3,2019-05-27,2019-07-21,202,Sunday,14:55,7,55.0
LUX-BRI,6407,1,2019-05-28,2019-07-21,202,Sunday,14:55,7,54.0
LUX-BRI,6407,101,2019-05-27,2019-07-23,204,Tuesday,11:45,7,57.0
LUX-BRI,6407,101,2019-05-28,2019-07-23,204,Tuesday,11:45,7,56.0
LUX-BRI,6407,0,2019-05-27,2019-07-23,204,Tuesday,14:35,7,57.0
LUX-BRI,6407,0,2019-05-28,2019-07-23,204,Tuesday,14:35,7,56.0
LUX-BRI,6407,37,2019-05-27,2019-07-26,207,Friday,11:45,7,60.0
LUX-BRI,6407,34,2019-05-28,2019-07-26,207,Friday,11:45,7,59.0
LUX-BRI,6407,116,2019-05-27,2019-07-26,207,Friday,14:35,7,60.0
LUX-BRI,6407,111,2019-05-28,2019-07-26,207,Friday,14:35,7,59.0
LUX-BRI,6407,328,2019-05-27,2019-07-28,209,Sunday,12:05,7,62.0
LUX-BRI,6407,332,2019-05-28,2019-07-28,209,Sunday,12:05,7,61.0
LUX-BRI,6407,461,2019-05-27,2019-07-28,209,Sunday,14:55,7,62.0
LUX-BRI,6407,465,2019-05-28,2019-07-28,209,Sunday,14:55,7,61.0
LUX-BRI,6407,195,2019-05-27,2019-07-30,211,Tuesday,11:45,7,64.0
LUX-BRI,6407,195,2019-05-28,2019-07-30,211,Tuesday,11:45,7,63.0
LUX-BRI,6407,0,2019-05-27,2019-07-30,211,Tuesday,14:35,7,64.0
LUX-BRI,6407,0,2019-05-28,2019-07-30,211,Tuesday,14:35,7,63.0
LUX-BRI,6407,128,2019-05-27,2019-08-02,214,Friday,11:45,8,67.0
LUX-BRI,6407,130,2019-05-28,2019-08-02,214,Friday,11:45,8,66.0
LUX-BRI,6407,0,2019-05-27,2019-08-02,214,Friday,14:35,8,67.0
LUX-BRI,6407,0,2019-05-28,2019-08-02,214,Friday,14:35,8,66.0
LUX-BRI,6407,196,2019-05-27,2019-08-04,216,Sunday,12:05,8,69.0
LUX-BRI,6407,196,2019-05-28,2019-08-04,216,Sunday,12:05,8,68.0
LUX-BRI,6407,110,2019-05-27,2019-08-04,216,Sunday,14:55,8,69.0
LUX-BRI,6407,110,2019-05-28,2019-08-04,216,Sunday,14:55,8,68.0
LUX-BRI,6407,252,2019-05-27,2019-08-06,218,Tuesday,11:45,8,71.0
LUX-BRI,6407,252,2019-05-28,2019-08-06,218,Tuesday,11:45,8,70.0
LUX-BRI,6407,4,2019-05-27,2019-08-06,218,Tuesday,14:35,8,71.0
LUX-BRI,6407,3,2019-05-28,2019-08-06,218,Tuesday,14:35,8,70.0
LUX-BRI,6407,0,2019-05-27,2019-08-09,221,Friday,11:45,8,74.0
LUX-BRI,6407,0,2019-05-28,2019-08-09,221,Friday,11:45,8,73.0
LUX-BRI,6407,47,2019-05-27,2019-08-09,221,Friday,14:35,8,74.0
LUX-BRI,6407,86,2019-05-28,2019-08-09,221,Friday,14:35,8,73.0
LUX-BRI,6407,47,2019-05-27,2019-08-11,223,Sunday,12:05,8,76.0
LUX-BRI,6407,116,2019-05-28,2019-08-11,223,Sunday,12:05,8,75.0
LUX-BRI,6407,475,2019-05-27,2019-08-11,223,Sunday,14:55,8,76.0
LUX-BRI,6407,475,2019-05-28,2019-08-11,223,Sunday,14:55,8,75.0
LUX-BRI,6407,166,2019-05-27,2019-08-13,225,Tuesday,11:45,8,78.0
LUX-BRI,6407,134,2019-05-28,2019-08-13,225,Tuesday,11:45,8,77.0
LUX-BRI,6407,0,2019-05-27,2019-08-13,225,Tuesday,14:35,8,78.0
LUX-BRI,6407,0,2019-05-28,2019-08-13,225,Tuesday,14:35,8,77.0
