date,Weekday,vacances,est_jour_ferie,nom_jour_ferie,nom_vacances
2017-01-01,Dimanche,True,TRUE,Nouvel an,Vacances de Noeel
2017-01-02,Lundi,True,FALSE,,Vacances de Noeel
2017-01-03,Mardi,FALSE,FALSE,,
2017-01-04,Mercredi,FALSE,FALSE,,
2017-01-05,Jeudi,FALSE,FALSE,,
2017-01-06,Vendredi,FALSE,FALSE,,
2017-01-07,Samedi,FALSE,FALSE,,
2017-01-08,Dimanche,FALSE,FALSE,,
2017-01-09,Lundi,FALSE,FALSE,,
2017-01-10,Mardi,FALSE,FALSE,,
2017-01-11,Mercredi,FALSE,FALSE,,
2017-01-12,Jeudi,FALSE,FALSE,,
2017-01-13,Vendredi,FALSE,FALSE,,
2017-01-14,Samedi,FALSE,FALSE,,
2017-01-15,Dimanche,FALSE,FALSE,,
2017-01-16,Lundi,FALSE,FALSE,,
2017-01-17,Mardi,FALSE,FALSE,,
2017-01-18,Mercredi,FALSE,FALSE,,
2017-01-19,Jeudi,FALSE,FALSE,,
2017-01-20,Vendredi,FALSE,FALSE,,
2017-01-21,Samedi,FALSE,FALSE,,
2017-01-22,Dimanche,FALSE,FALSE,,
2017-01-23,Lundi,FALSE,FALSE,,
2017-01-24,Mardi,FALSE,FALSE,,
2017-01-25,Mercredi,FALSE,FALSE,,
2017-01-26,Jeudi,FALSE,FALSE,,
2017-01-27,Vendredi,FALSE,FALSE,,
2017-01-28,Samedi,FALSE,FALSE,,
2017-01-29,Dimanche,FALSE,FALSE,,
2017-01-30,Lundi,FALSE,FALSE,,
2017-01-31,Mardi,FALSE,FALSE,,
2017-02-01,Mercredi,FALSE,FALSE,,
2017-02-02,Jeudi,FALSE,FALSE,,
2017-02-03,Vendredi,FALSE,FALSE,,
2017-02-04,Samedi,FALSE,FALSE,,
2017-02-05,Dimanche,FALSE,FALSE,,
2017-02-06,Lundi,FALSE,FALSE,,
2017-02-07,Mardi,FALSE,FALSE,,
2017-02-08,Mercredi,FALSE,FALSE,,
2017-02-09,Jeudi,FALSE,FALSE,,
2017-02-10,Vendredi,FALSE,FALSE,,
2017-02-11,Samedi,FALSE,FALSE,,
2017-02-12,Dimanche,True,FALSE,,Vacances dhiver
2017-02-13,Lundi,True,FALSE,,Vacances dhiver
2017-02-14,Mardi,True,FALSE,,Vacances dhiver
2017-02-15,Mercredi,True,FALSE,,Vacances dhiver
