Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-BRI,2019-05-31,6407,11:45,O,May,Friday,0.0,4.320709614843295,-30.0,0.0
LUX-BRI,2019-05-31,6408,14:35,I,May,Friday,0.0,45.252318361196814,-3.0,0.1511969240533847
LUX-BRI,2019-06-02,6407,12:50,O,June,Sunday,0.9999999999999993,-16.0,-18.0,8.104628079763643e-15
LUX-BRI,2019-06-02,6408,14:55,I,June,Sunday,0.28271818456402487,3.0,0.0,0.9194843712768715
LUX-BRI,2019-06-04,6407,11:45,O,June,Tuesday,0.9999988593566186,-10.83873933301318,-42.0,0.0
LUX-BRI,2019-06-04,6408,14:35,I,June,Tuesday,0.9986685978715018,-5.249191286935982,-60.0,0.0
LUX-BRI,2019-06-07,6407,11:45,O,June,Friday,0.0,31.46320835330009,-4.0,0.4536359761482496
LUX-BRI,2019-06-07,6408,14:35,I,June,Friday,0.0,13.46693694708982,-45.0,0.0
LUX-BRI,2019-06-09,6407,12:50,O,June,Sunday,0.9470906816518112,-2.0,-7.0,0.0928620270763898
LUX-BRI,2019-06-09,6408,14:55,I,June,Sunday,0.9999999985865038,-15.0,-18.0,6.625397119819354e-09
LUX-BRI,2019-06-11,6407,11:45,O,June,Tuesday,0.0,17.115845065081785,-15.0,0.0025406279946539323
LUX-BRI,2019-06-11,6408,14:35,I,June,Tuesday,0.0,48.69930716532264,-6.0,0.21184557417389793
LUX-BRI,2019-06-14,6407,11:45,O,June,Friday,0.0,27.01105627729497,9.0,0.9998905906756852
LUX-BRI,2019-06-14,6408,14:35,I,June,Friday,0.0,36.23623406676951,-20.0,0.0006121652158543878
LUX-BRI,2019-06-16,6407,12:50,O,June,Sunday,0.0002456707398550711,15.609903729874219,1.0,0.9077444541928511
LUX-BRI,2019-06-16,6408,14:55,I,June,Sunday,0.9949043193646955,-7.0,-12.0,0.009596288517922935
LUX-BRI,2019-06-18,6407,11:45,O,June,Tuesday,0.6159681532575283,2.08473389673982,-29.0,2.0551975210558737e-07
LUX-BRI,2019-06-18,6408,14:35,I,June,Tuesday,0.0,39.41403611673435,2.0,0.9529158734485698
LUX-BRI,2019-06-21,6407,11:45,O,June,Friday,0.6156860752148812,2.551393547778673,-31.0,8.571078967012369e-06
LUX-BRI,2019-06-21,6408,14:35,I,June,Friday,0.0,34.50769822689365,-19.0,0.007649999554143361
LUX-BRI,2019-06-23,6407,12:50,O,June,Sunday,0.7291002966029025,1.4626405410302965,-14.0,0.030259826795182354
LUX-BRI,2019-06-23,6408,14:55,I,June,Sunday,0.027209038267927144,13.228141717391765,4.0,0.9584714971184454
LUX-BRI,2019-06-25,6407,11:45,O,June,Tuesday,0.999999986449677,-25.995215214591937,-40.0,5.053724105863466e-11
LUX-BRI,2019-06-25,6408,14:35,I,June,Tuesday,0.01846911161153213,10.82227899690352,-41.0,1.1695344692697063e-10
LUX-BRI,2019-06-28,6407,11:45,O,June,Friday,2.0587768766244147e-10,30.643248972442564,-3.0,0.6891201287184727
LUX-BRI,2019-06-28,6408,14:35,I,June,Friday,0.0002561226576454349,17.666555048748222,-18.0,0.012863187011811994
LUX-BRI,2019-06-30,6407,12:50,O,June,Sunday,0.0,62.0870548494086,25.0,0.9999999994727653
LUX-BRI,2019-06-30,6408,14:55,I,June,Sunday,5.729918732623158e-08,29.55385218013025,19.0,0.9999999451958634
LUX-BRI,2019-07-02,6407,11:45,O,July,Tuesday,0.9945513091920756,-9.678935948796735,-40.0,1.168196428480428e-08
LUX-BRI,2019-07-02,6408,14:35,I,July,Tuesday,0.9999419738097424,-15.06240083202708,-66.0,0.0
LUX-BRI,2019-07-05,6407,11:45,O,July,Friday,0.0611476175023263,13.049880863954868,-19.0,0.02709115905896964
LUX-BRI,2019-07-05,6408,14:35,I,July,Friday,0.32369696354249977,6.300000000000026,-43.0,1.8997166828516043e-07
LUX-BRI,2019-07-07,6407,12:50,O,July,Sunday,0.0,49.0731737682795,13.0,0.9989304678980048
LUX-BRI,2019-07-07,6408,14:55,I,July,Sunday,7.633070173531507e-06,27.000000000000057,-2.0,0.716207216238899
LUX-BRI,2019-07-09,6407,11:45,O,July,Tuesday,1.2095841844938915e-08,28.446491653403385,-2.0,0.7006342780976624
LUX-BRI,2019-07-09,6408,14:35,I,July,Tuesday,0.8319536313387361,-0.10272304511214259,-49.0,1.3785494967777367e-10
LUX-BRI,2019-07-12,6407,11:45,O,July,Friday,0.0,50.07891968923492,18.0,0.9999197936241855
LUX-BRI,2019-07-12,6408,14:35,I,July,Friday,9.376467853188878e-14,34.5439053250566,-13.0,0.17210665158434335
LUX-BRI,2019-07-14,6407,12:50,O,July,Sunday,0.0,55.01690364809268,20.0,0.9999807616347447
LUX-BRI,2019-07-14,6408,14:55,I,July,Sunday,4.063177424688182e-11,39.997937879941745,11.0,0.9922196288761594
LUX-BRI,2019-07-16,6407,11:45,O,July,Tuesday,0.3326053075641377,7.677001425943658,-23.0,0.00580142950444984
LUX-BRI,2019-07-16,6408,14:35,I,July,Tuesday,0.0,39.24767666269118,-8.0,0.34650294666693937
LUX-BRI,2019-07-19,6407,11:45,O,July,Friday,1.0231831503426343e-14,45.525788890037006,15.0,0.9988833564981933
LUX-BRI,2019-07-19,6408,14:35,I,July,Friday,1.333147480024745e-10,34.515814933150565,-11.0,0.27753253827993973
LUX-BRI,2019-07-21,6407,12:50,O,July,Sunday,6.628081516491672e-11,40.416427305065554,7.0,0.9689777811509991
LUX-BRI,2019-07-21,6408,14:55,I,July,Sunday,4.6433252695174844e-05,29.22216410209191,1.0,0.8474115633769184
LUX-BRI,2019-07-23,6407,11:45,O,July,Tuesday,0.47985314563665726,5.000000000000014,-25.0,0.005244594807447767
LUX-BRI,2019-07-23,6408,14:35,I,July,Tuesday,1.7399146541243153e-06,25.228210221547414,-22.0,0.015309487710313152
LUX-BRI,2019-07-26,6407,11:45,O,July,Friday,3.44973501281874e-08,38.98897040663596,9.0,0.981433931530689
LUX-BRI,2019-07-26,6408,14:35,I,July,Friday,0.0,59.397940450436394,16.0,0.9992326634006968
LUX-BRI,2019-07-28,6407,12:50,O,July,Sunday,0.0,59.405042503084445,27.0,0.9999983854116602
LUX-BRI,2019-07-28,6408,14:55,I,July,Sunday,7.292476784524167e-10,42.16898439959209,14.0,0.9978373066690498
LUX-BRI,2019-07-30,6407,11:45,O,July,Tuesday,0.9083701312653252,-3.7031004065300266,-33.0,0.0002786620917455407
LUX-BRI,2019-07-30,6408,14:35,I,July,Tuesday,2.4769885598634363e-05,24.850000000000094,-20.0,0.03407907412537958
LUX-BRI,2019-08-02,6407,11:45,O,August,Friday,4.643216887989843e-11,45.74680238707384,17.0,0.9990005507284838
LUX-BRI,2019-08-02,6408,14:35,I,August,Friday,1.0864966452682977e-08,35.4744595053195,-6.0,0.5452355626947365
LUX-BRI,2019-08-04,6407,12:50,O,August,Sunday,0.0,83.07027283063188,51.0,1.0
LUX-BRI,2019-08-04,6408,14:55,I,August,Sunday,6.773434701732384e-14,51.12770600946817,23.0,0.9999734338910319
LUX-BRI,2019-08-06,6407,11:45,O,August,Tuesday,0.32844486649851673,8.29331025399297,-21.0,0.03637088276982803
LUX-BRI,2019-08-06,6408,14:35,I,August,Tuesday,0.03234434673377683,15.512319275957921,-27.0,0.0028573811866369203
LUX-BRI,2019-08-09,6407,11:45,O,August,Friday,0.004647808549577794,24.63379452408614,-4.0,0.6845138960801957
LUX-BRI,2019-08-09,6408,14:35,I,August,Friday,0.0,51.44576002516081,11.0,0.9901320492329321
LUX-BRI,2019-08-11,6407,12:50,O,August,Sunday,5.510685623927362e-10,44.45410522619957,14.0,0.9962584196063881
LUX-BRI,2019-08-11,6408,14:55,I,August,Sunday,7.99497304159793e-07,39.08686899122901,12.0,0.992160643385248
LUX-BRI,2019-08-13,6407,11:45,O,August,Tuesday,0.8836554317040323,-2.73920313185009,-31.0,0.0014824212701347594
