direction:O,dep_time,weekday,yearweek,whichholiday_left_LUX:Vacances de Noeel,whichholiday_left_LUX:Vacances de Pentecete,whichholiday_left_LUX:Vacances de Peques,whichholiday_left_LUX:Vacances dete,whichholiday_left_LUX:vacances de Carnaval,whichholiday_right_LUX:Vacances de Noeel,whichholiday_right_LUX:Vacances de Pentecete,whichholiday_right_LUX:Vacances de Peques,whichholiday_right_LUX:Vacances dete,whichholiday_right_LUX:vacances de Carnaval,holiday_from_left_LUX,holiday_from_right_LUX,holiday_to_left_LUX,holiday_to_right_LUX,whichjf_left_LUX:Assomption,whichjf_left_LUX:Journee de lEurope,whichjf_left_LUX:La Toussaint,whichjf_left_LUX:Les Trepasses,whichjf_left_LUX:Lundi de Pentecete,whichjf_left_LUX:Lundi de Peques,whichjf_left_LUX:Luxembourg,whichjf_left_LUX:Noeel,whichjf_left_LUX:Nouvel an,whichjf_left_LUX:Pentecete,whichjf_left_LUX:Peques,whichjf_left_LUX:Saint Etienne,whichjf_left_LUX:Travail,whichjf_right_LUX:Assomption,whichjf_right_LUX:Journee de lEurope,whichjf_right_LUX:La Toussaint,whichjf_right_LUX:Les Trepasses,whichjf_right_LUX:Lundi de Pentecete,whichjf_right_LUX:Lundi de Peques,whichjf_right_LUX:Luxembourg,whichjf_right_LUX:Noeel,whichjf_right_LUX:Nouvel an,whichjf_right_LUX:Pentecete,whichjf_right_LUX:Peques,whichjf_right_LUX:Saint Etienne,whichjf_right_LUX:Travail,jf_left_LUX,jf_left_LUX,capacity_current
1,14.25,1,1.0,1,0,0,0,0,1,0,0,0,0,17.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,71
1,19.166666666666668,1,1.0,1,0,0,0,0,1,0,0,0,0,17.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,71
0,16.0,1,1.0,1,0,0,0,0,1,0,0,0,0,17.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,73
0,21.166666666666668,1,1.0,1,0,0,0,0,1,0,0,0,0,17.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,71
1,6.75,2,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,39.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,71
1,14.25,2,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,39.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,71
1,19.166666666666668,2,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,39.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,71
0,8.75,2,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,39.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,75
0,16.0,2,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,39.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,75
0,21.166666666666668,2,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,39.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,75
1,6.75,3,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2.0,71
1,14.25,3,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2.0,71
1,19.166666666666668,3,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2.0,71
0,8.75,3,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2.0,71
0,16.0,3,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2.0,73
0,21.166666666666668,3,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2.0,71
1,6.75,4,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.0,71
1,14.25,4,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.0,71
1,19.166666666666668,4,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.0,71
0,8.75,4,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.0,76
0,16.0,4,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.0,71
0,21.166666666666668,4,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.0,71
1,6.75,5,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,71
1,14.25,5,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,71
