dday,Dprio,NumPax,forecast,se_oos,PI_lb,PI_ub
Friday,1,772.0,967.0547122213782,197.357483186168,572.3397458490422,1361.7696785937142
Friday,2,771.0,950.1874974564859,195.8476306526946,558.4922361510967,1341.882758761875
Friday,3,761.0,933.5663582431669,195.03686326598563,543.4926317111956,1323.6400847751381
Friday,4,753.0,917.1876558901898,193.6034900180718,529.9806758540462,1304.3946359263334
Friday,5,750.0,901.0478061936777,192.98469297887556,515.0784202359266,1287.0171921514288
Friday,6,748.0,885.1432786117554,192.18998594363933,500.7633067244767,1269.523250499034
Friday,7,729.0,869.4705954518279,189.39127925936336,490.68803693310116,1248.2531539705546
Friday,8,713.0,854.026331070294,186.60693392329256,480.81246322370885,1227.240198916879
Friday,9,679.0,838.8071110845034,183.8903719578783,471.0263671687468,1206.5878550002599
Friday,10,655.0,823.8096115967702,181.31407375587256,461.1814640850251,1186.4377591085154
Friday,11,642.0,809.030558430255,180.1277142606773,448.77512990890045,1169.2859869516096
Friday,12,640.0,794.4667263765305,179.4409090591975,435.58490825813544,1153.3485444949256
Friday,13,640.0,780.1149384546547,178.81331546814488,422.488307518365,1137.7415693909445
Friday,14,631.0,765.9720651815717,178.28864027192807,409.39478463771553,1122.5493457254279
Friday,15,616.0,752.0350238536633,175.78915982598377,400.4567042016958,1103.6133435056308
Friday,16,595.0,738.3007778392847,172.66579602045073,392.96918579838325,1083.6323698801862
Friday,17,579.0,724.7663358821094,171.10047220972962,382.56539146265015,1066.9672803015687
Friday,18,569.0,711.4287514151204,170.80400134073548,369.8207487336494,1053.0367540965913
Friday,19,568.0,698.2851218850802,169.62392426312576,359.0372733588287,1037.5329704113317
Friday,20,561.0,685.3325880873219,169.05921887466428,347.2141503379934,1023.4510258366505
Friday,21,536.0,672.5683335107004,167.30097525440686,337.9663830018867,1007.1702840195142
Friday,22,523.0,659.9895836925442,165.88309216289224,328.22339936675974,991.7557680183287
Friday,23,508.0,647.5936055834596,164.50788524750376,318.5778350884521,976.6093760784672
Friday,24,495.0,635.3777069218308,160.64656488469421,314.0845771524424,956.6708366912193
Friday,25,476.0,623.3392356178679,158.10379537184153,307.1316448741848,939.546826361551
Friday,26,476.0,611.4755791470564,157.61566334899618,296.244252449064,926.7069058450487
Friday,27,473.0,599.7841639528623,157.09653407924188,285.59109579437853,913.977232111346
Friday,28,465.0,588.2624548585511,156.7422214687937,274.7780119209637,901.7468977961385
Friday,29,453.0,576.9079544879787,155.5982281863535,265.7114981152717,888.1044108606857
Friday,30,434.0,565.71820269522,152.95805442539674,259.80209384442657,871.6343115460136
Friday,31,423.0,554.6907760028927,152.09231582877047,250.50614434535174,858.8754076604337
Friday,32,411.0,543.8232870490493,150.39559723166673,243.03209258571587,844.6144815123828
Friday,33,406.0,533.1133840425003,149.93076675748608,233.25185052752818,832.9749175574725
Friday,34,406.0,522.5587502264423,149.50932622314153,223.54009778015921,821.5774026727254
Friday,35,390.0,512.1571033502594,147.4389703355267,217.27916267920597,807.0350440213128
Friday,36,378.0,501.9061951493764,145.54745353070868,210.81128808795904,793.0011022107938
Friday,37,372.0,491.8038108330379,144.49657514372723,202.81066054558346,780.7969611204924
Friday,38,356.0,481.8477685798897,142.67132197857202,196.50512462274565,767.1904125370338
Friday,39,319.0,472.03591904124573,114.54723469034009,242.94144966056555,701.1303884219259
Friday,40,315.0,462.3661448519197,113.83737141522273,234.69140202147426,690.0408876823652
Friday,41,311.0,452.8363601485073,112.68999186806167,227.45637641238397,678.2163438846306
Friday,42,302.0,443.4445100950023,111.8930344362585,219.65844122248527,667.2305789675192
Friday,43,294.0,434.1885704156344,111.21256313727207,211.76344414109025,656.6136966901786
Friday,44,286.0,425.06654693482074,110.61689403877801,203.8327588572647,646.3003350123768
Friday,45,270.0,416.0764751241151,109.4705062729008,197.1354625783135,635.0174876699167
Friday,46,254.0,407.2164196560556,106.17547414210557,194.86547137184448,619.5673679402668
Friday,47,249.0,398.4844739647969,105.63929198420533,187.20588999638625,609.7630579332076
